sort_order|product_group|product|target|taker_m0|taker_m1|trx_m0|trx_m1|rev_squad_m0|rev_squad_m1|rev_all|deliv_m0|deliv_m1|deliv_taker_m0|deliv_taker_m1
1|OTT Video|Catchplay|424360|55|28|55|28|4800000.0|2962000.0|70237065.51349102|0|0|0|0
2|OTT Video|Disney|424360|5|2|5|2|245000.0|98000.0|15106500.0|0|0|0|0
3|OTT Video|Fita|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
4|OTT Video|Genflix|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
5|OTT Video|HBO|600209|3|6|3|6|246530.0|368460.0|614990.0|0|0|0|0
6|OTT Video|Iflix (WeTV)|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
7|OTT Video|Indihome TV|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
8|OTT Video|Iqiyi|969971|1|4|1|4|10.0|40.0|222562.0|469076|0|1|0
9|OTT Video|Karaoke|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
10|OTT Video|Kuncie|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
11|OTT Video|Lionsgate|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
12|OTT Video|Mola|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
13|OTT Video|Netflix|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
14|OTT Video|Nomo|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
15|OTT Video|Prime Video|1310669|51|74|51|74|2710803.0|3933322.0|289092366.8738999|786030|0|14|0
16|OTT Video|Sushiroll|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
17|OTT Video|Vidio|917779|559|137|559|137|29573000.0|9145000.0|89434066.51361004|502132|450810|237|51
18|OTT Video|Vision Plus|395035|17|21|18|22|633000.0|731000.0|3443000.0|314447|211216|15|13
19|OTT Video|Viu|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
20|OTT Video|Youtube Premium|453832|0|4|0|5|0.0|292795.0|0.0|0|0|0|0
21|IPTV|Minipack|220130|11|13|11|13|1194000.0|958000.0|5351500.0|210346|1|11|0
22|IPTV|VOD|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
23|FBB VAS|IH Prepaid|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
24|FBB VAS|Indihome Passive|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
25|FBB VAS|Smooa|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
26|FBB VAS|Speed on Demand|2161159|58|39|69|45|6236000.0|4336595.0|16938126.0|1461471|1446636|18|10
27|FBB VAS|Speed Refreshment|313901|11|7|11|7|1624000.0|980000.0|1624000.0|0|0|0|0
28|FBB VAS|Upload Booster|136841|1|0|1|0|22200.0|0.0|5384180.0|0|0|0|0
29|Scale Up|Smarthome (IP Cam)|302663|2|9|2|9|100000.0|450000.0|1200000.0|0|0|0|0
30|Scale Up|Mesh Wifi|0|0|2|0|2|0.0|70000.0|70000.0|0|0|0|0
31|Scale Up|FTTR|20206|0|1|0|1|0.0|160000.0|525000.0|0|0|0|0
32|Convergence|Kuota Keluarga|3218918|39|72|39|72|4855000.0|5485000.0|191725000.0|0|0|0|0
33|Convergence|Kuota Personal|0|0|0|0|0|0.0|0.0|0.0|0|0|0|0
